CityName;OrganisationID;OrganisationName;CountryName;CityLocation;GCoMCity;C40City
Henderson;50545;City of Henderson, NV;USA;;false;false
Long Beach;50551;City of Long Beach, CA;USA;POINT (-118.194 33.7701);true;false
Saskatoon;50568;City of Saskatoon, SK;Canada;POINT (-106.67 52.1332);true;false
Santa Monica;54110;City of Santa Monica, CA;USA;POINT (-118.481 34.0219);true;false
Klaipeda;60125;KlaipÄ—da City Municipality;Lithuania;;false;false
Austin;1184;City of Austin, TX;USA;POINT (-97.7431 30.2672);true;true
Frederikshavn;60577;Frederikshavn Municipality;Denmark;POINT (10.521 57.4427);true;false
Atlanta;1093;City of Atlanta, GA;USA;POINT (-84.388 33.749);true;false
Strasbourg;54419;City and Metropolitan Municipality of Strasbourg;France;;true;false
Nakuru;60140;City of Nakuru;Kenya;POINT (36.08 -0.30309);true;false
Kaohsiung;31112;Kaohsiung City Government;East Asia;POINT (120.344 22.6297);true;false
Medford;58513;City of Medford, MA;USA;POINT (-122.876 42.3265);true;false
Charlottesville;59545;City of Charlottesville, VA;USA;POINT (-78.4767 38.0293);true;false
Tshwane;49360;City of Tshwane;South Africa;POINT (28.1881 -25.7461);true;true
Tampere;54403;City of Tampere;Finland;POINT (23.761 61.4978);true;false
Busan-si;35856;Busan Metropolitan City;Republic of Korea;;true;false
San Antonio;43905;City of San Antonio, TX;USA;POINT (-98.4936 29.4241);true;false
Nairobi;35913;City of Nairobi;Kenya;POINT (36.8219 -1.29206);true;true
London;841955;Hammersmith and Fulham London Borough Council;United Kingdom;POINT (-0.25 51.5);false;false
Beaverton;59657;City of Beaverton, OR;USA;POINT (-122.797 45.4857);true;false
Kansas City;49330;Kansas City, MO;USA;POINT (-94.573 39.1429);false;false
Little Rock;54030;City of Little Rock, AR;USA;POINT (-92.2896 34.7465);false;false
Barueri;54699;Prefeitura Municipal de Barueri;Brazil;;false;false
Glasgow;31055;Glasgow City Council;United Kingdom;POINT (-4.21278 55.8593);true;false
Turku;50154;City of Turku;Finland;POINT (22.2666 60.4518);true;false
Fortaleza;35865;Municipality of Fortaleza;Brazil;POINT (-48.3936 -10.7183);true;false
Hvidovre;60433;Hvidovre Municipality;Denmark;POINT (12.4754 55.6425);true;false
JÃ¶nkÃ¶ping;54509;JÃ¶nkÃ¶ping Municipality;Sweden;;false;false
Flagstaff;54113;City of Flagstaff, AZ;USA;POINT (-111.631 35.1992);true;false
Birmingham;833284;West Midlands Combined Authority;United Kingdom;;false;false
Antananarivo;36223;Antananarivo;Madagascar;POINT (47.5237 -18.905);false;false
Omaha;49347;City of Omaha, NE;USA;;false;false
Birmingham;1850;Birmingham City Council;United Kingdom;;true;false
Allentown;49346;City of Allentown, PA;USA;;false;false
CuiabÃ¡;50386;Prefeitura de CuiabÃ¡;Brazil;POINT (-52.2663 -15.882);true;false
BrasÃ­lia;35995;Distrito Federal (BrasÃ­lia);Brazil;POINT (-47.8822 -15.7942);true;false
Hanoi;31158;Hanoi City;Vietname;POINT (105.815 21.0258);false;true
Mesa;50554;City of Mesa, AZ;USA;;false;false
Nijmegen;54478;Municipality of Nijmegen;Netherlands;POINT (5.84282 51.8449);true;false
Broward;63941;Broward County, FL;USA;POINT (80.3659 26.1901);false;false
Pereira;54617;Alcaldia de Pereira;Colombia;POINT (-75.6906 4.80871);true;false
Zaragoza;46473;Municipality of Saragossa (Spain);Spain;POINT (-0.88701 41.6086);true;false
Knoxville;54048;City of Knoxville, TN;USA;POINT (-83.9207 35.9606);true;false
Matsuyama-shi;55181;City of Matsuyama;Japan;;false;false
Rionegro;69968;Alcaldia de Rionegro;Colombia;POINT (-75.3739 6.15316);true;false
Rochester;49342;City of Rochester, NY;USA;POINT (-77.6109 43.161);true;false
Quelimane;71557;Quelimane Municipal Council;Mozambique;POINT (36.9218 -17.8503);true;false
LuleÃ¥;60226;LuleÃ¥ Municipality;Sweden;;true;false
Santa Marta;60381;AlcaldÃ­a Distrital de Santa Marta;Colombia;POINT (-74.2127 11.2453);false;false
Fort Lauderdale;52896;City of Fort Lauderdale, FL;USA;;false;false
Amarante;831674;Municipality of Amarante;Portugal;;false;false
YaoundÃ© 6;59298;YaoundÃ© 6;Cameroon;POINT (11.5191 3.86181);true;false
Lucca;36477;City of Lucca;Italy;POINT (10.6174 43.8399);true;false
Santiago de Guayaquil;36045;Santiago de Guayaquil;Ecuador;POINT (-79.9223 -2.17099);true;false
Boynton Beach;74594;City of Boynton Beach, FL;USA;POINT (-80.216 26.4986);true;false
Somerville;58531;City of Somerville, MA;USA;POINT (-71.0826 42.3934);true;false
Indianapolis;43907;City of Indianapolis, IN;USA;POINT (-86.1785 39.7676);true;false
Baltimore;35853;City of Baltimore, MD;USA;POINT (-76.6122 39.2904);true;false
Breckenridge;74418;Town of Breckenridge, CO;USA;POINT (106.038 39.4817);false;false
Fukuoka;36218;Fukuoka City;Japan;;false;false
Santiago;60393;Municipalidad de Santiago;Chile;POINT (-70.6483 -33.4569);true;false
Milano;854042;Metropolitan Municipality of Milan;Italy;POINT (9.18846 45.4717);false;false
Cuenca;54637;AlcaldÃ­a de Cuenca;Ecuador;POINT (-79.0048 -2.90841);true;false
HelsingÃ¸r;58671;HelsingÃ¸r Municipality;Denmark;POINT (12.5921 56.0308);true;false
Blackpool;60102;Blackpool Council;United Kingdom;;false;false
Arequipa;50368;Municipalidad de Provincial de Arequipa;Peru;POINT (-75.329 -11.0557);true;false
Alba-Iulia;60588;City of Alba Iulia;Romania;POINT (23.569 46.0823);true;false
Taichung;54389;Taichung City Government;East Asia;POINT (120.647 24.1619);true;false
Fayetteville;53959;City of Fayetteville, AR;USA;POINT (-94.1719 36.0821);false;false
